gene,damage_score,gnomAD_SAS_AF,Variant_Classification,log2FoldChange,padj,direction,MutExpress_Priority
CDO1,3.0,0.0,Missense_Mutation,-3.65450776363285,2.0879217923376798e-122,DOWN,HIGH
CDSN,3.0,0.0,Missense_Mutation,2.33939222793272,1.28505195403129e-29,UP,HIGH
CDT1,3.0,0.0,Missense_Mutation,2.45785955596833,1.04444943798545e-95,UP,HIGH
CEL,3.0,0.0,Missense_Mutation,1.65387318818712,2.68521807119982e-20,UP,HIGH
CELF3,3.0,0.0,Missense_Mutation,2.85741362500958,2.04889167903784e-46,UP,HIGH
CELSR1,3.0,0.0,"Missense_Mutation, Splice_Site, Frame_Shift_Ins",1.53313557643095,3.56897034099796e-38,UP,HIGH
CELSR3,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",2.44704049063011,3.33622626519179e-69,UP,HIGH
CEND1,3.0,0.0,Missense_Mutation,1.57847078194815,4.589814136873469e-28,UP,HIGH
CENPE,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",2.59874872845865,6.862383612400279e-128,UP,HIGH
CENPF,3.0,0.0,"Missense_Mutation, Frame_Shift_Del",3.25318192578018,6.275998072914299e-186,UP,HIGH
CEP112,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-1.75229118880383,3.01237359556102e-103,DOWN,HIGH
CES1,3.0,0.0,Missense_Mutation,-3.78319206402843,5.8050917601574705e-98,DOWN,HIGH
CFHR4,3.0,0.0,Missense_Mutation,2.96207214781281,2.02973782292968e-10,UP,HIGH
CHGB,3.0,0.0,Missense_Mutation,3.17689754670861,5.910865593824221e-20,UP,HIGH
CHL1,3.0,0.0,Missense_Mutation,-2.96953084973399,2.56896711999493e-72,DOWN,HIGH
CHRNA6,3.0,0.0,Missense_Mutation,3.98620573929844,2.91987809277698e-114,UP,HIGH
CHRNG,3.0,0.0,Missense_Mutation,1.60771524170307,4.4528418994119605e-14,UP,HIGH
CHST8,3.0,0.0,Missense_Mutation,1.86126983841231,1.03460816319284e-16,UP,HIGH
CHTF18,3.0,0.0,Missense_Mutation,1.83235899427951,3.43504100962241e-74,UP,HIGH
CIB3,3.0,0.0,Missense_Mutation,3.02089585497715,7.89996469777761e-59,UP,HIGH
CIT,3.0,0.0,Missense_Mutation,1.96389200076576,5.971378142139071e-112,UP,HIGH
CKAP2L,3.0,0.0,Missense_Mutation,3.23772243876276,2.37700370648511e-173,UP,HIGH
CLCA4,3.0,0.0,Missense_Mutation,-3.29706699926908,4.61453350641507e-43,DOWN,HIGH
