"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001706","endoderm formation","14/1572","62/18860",0.225806451612903,2.70910284823114,4.06463398668536,0.000473243284160063,0.00753917112120946,0.0060547139513028,"COL11A1/COL12A1/COL5A1/COL5A2/FN1/HMGA2/ITGA7/LAMA3/LAMB3/LHX1/SOX2/TBX20/INHBA/MMP9",14
"GO:0009308","amine metabolic process","19/1572","99/18860",0.191919191919192,2.30254195903051,3.91827174048706,0.000474153209737416,0.00753917112120946,0.0060547139513028,"AOC2/AOC3/CYP1A1/DMGDH/DRD2/EPAS1/GATA3/NPR1/PAH/SLC29A4/SNCB/TH/INMT/PDE1B/DRD4/KL/MAOA/SLC22A3/TRH",19
"GO:0141060","disruption of anatomical structure in another organism","24/1572","139/18860",0.172661870503597,2.07150310286122,3.82339823796313,0.000481631646649435,0.00763632448849572,0.00613273789304214,"C6/CCL20/CST11/CTSG/CXCL2/ELANE/F2/GBP5/MASP1/PGLYRP3/PPBP/RNASE7/SEMG1/CCL11/DCD/KNG1/MUC7/PGLYRP4/C7/CCL13/CCL21/CCL25/CCL28/PF4",24
"GO:0042330","taxis","61/1572","476/18860",0.128151260504202,1.53748904141809,3.58151116143605,0.000492609565407774,0.00778825491371328,0.00625475333086716,"ADAM8/ANO6/ANXA1/CCL20/CCL23/CDH13/CTSG/CX3CL1/CXCL2/CXCR3/DPEP1/DPP4/EDNRB/ELANE/ENPP2/EPHB1/FEZF2/FGF7/HOXB9/IL6/KIT/MET/NR4A1/P2RY12/PIK3C2G/PLXNA4/PPBP/ROBO2/ROBO3/S1PR1/SEMA3A/SEMA3D/SEMA3G/SEMA5B/SEMA6D/SLIT3/TBR1/ANGPT1/CCL11/EDN3/NRG1/PDGFD/PLAUR/PTGDR2/SLIT1/WNT7B/APOA1/CALCA/CCL13/CCL21/CCL25/CCL28/CCR7/CXCR5/EGR3/F7/FGF2/FLRT2/MMP28/PF4/SLAMF8",61
"GO:0009072","aromatic amino acid metabolic process","11/1572","42/18860",0.261904761904762,3.1421907185266,4.19091903371673,0.00049482163079366,0.00780112859169326,0.00626509219125603,"HPD/HPDL/IDO2/IYD/NMNAT2/PAH/TH/TPH2/KMO/DCT/TDO2",11
"GO:0048545","response to steroid hormone","47/1572","343/18860",0.137026239067055,1.64396620152968,3.62942682684878,0.000496999822939734,0.00781339721641312,0.00627494513292035,"ABCB1/ANXA1/ATP1A2/ATP1A3/CDO1/COL1A1/CST11/ESR1/ESR2/FOXA1/HMGA2/IL6/NKX2-2/NPAS4/NR3C2/PCK1/PER1/SLIT3/SOX10/SSTR2/SSTR5/TFPI/TP63/TXNIP/ZFP36/ZNF366/AVPR1A/CAV1/FOSB/GHR/GHSR/RXRG/TACR1/TCF21/WNT7B/BMP6/FOS/GHRHR/INHBA/NEFL/NEUROD1/NR3C1/NR4A3/PDX1/RHOXF1/SPP1/SRD5A2",47
"GO:0090231","regulation of spindle checkpoint","8/1572","24/18860",0.333333333333333,3.9991518235793,4.43325747880755,0.000499614103050825,0.00783243345260296,0.00629023314840453,"AURKB/CCNB1/CDCA8/SKA1/SKA3/ZWINT/BIRC5/MAD2L1",8
"GO:0007548","sex differentiation","42/1572","297/18860",0.141414141414141,1.6966098645488,3.64885820204542,0.000504977349166521,0.00789433777506541,0.00633994855595177,"ABCB1/ADAMTS1/ADCYAP1R1/ASPM/BMPR1B/BRCA2/BRIP1/DMRT2/ESR1/FANCA/GATA3/GDF9/HMGA2/KIT/LHX1/LHX9/OSR1/ROBO2/SIX4/SLIT3/TP63/TYRO3/UMODL1/ARID5B/CGA/DMRTA2/LHCGR/NPR2/PTPRN/TCF21/VGF/ADAM18/ADAM2/BMP6/CCNO/CNTFR/DMRT1/INHBA/KIF18A/SRD5A2/TESC/ZFP42",42
"GO:0050673","epithelial cell proliferation","63/1572","496/18860",0.127016129032258,1.52387035213002,3.56528491048209,0.000508888270626922,0.00793325541443813,0.0063712033411627,"BMPER/BRCA2/CD34/CDH13/CXCR3/DRD2/DSC1/ECM1/EDNRB/EGFR/ERBB2/ESR1/FGF7/FOXP2/FUT2/GATA3/GPC3/HMGA2/IL6/IQGAP3/KIT/LRG1/MMRN2/MYCN/NR4A1/OSR1/PPARG/PROX1/PTPRM/SCN5A/SDR16C5/SIX4/TEK/TGFBR3/TNMD/TP63/UHRF1/ZEB2/ZFP36/ZNF703/ALDH1A2/CAV1/CCL11/DLX6/GHSR/HOXA5/KRT2/NFIB/PTPRN/SULF1/TACR1/APOA1/BMP6/CALCA/DLX5/EGR3/FAP/FGF2/IL12B/LACRT/LIMS2/NR4A3/PDX1",63
"GO:0009636","response to toxic substance","39/1572","270/18860",0.144444444444444,1.7329657902177,3.65796138536218,0.000517399859613803,0.00804347804040289,0.00645972321429578,"ABCB1/ADH4/AIFM2/ALDH1A1/CCNB1/CDH13/CDK1/CES1/CYP1A1/DRD2/GPX3/OPRD1/PTGS2/PXDNL/RAD51/SCN11A/SCN9A/SLC29A4/SLC30A10/SLC47A2/SLC6A4/SLC7A11/TPO/TRPA1/TRPM6/CD36/INMT/MUC2/SLC23A1/UGT1A10/CAT/DHRS2/FOS/HBA2/HBB/NEFL/PENK/SCN2B/SLC22A3",39
